filename,clip,orig_split,new_split
-AresVs-_BO2_2_0_jpg.rf.631a07c4d3d7212c1969692fbad4336b.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_100_jpg.rf.4340aeab3ef05c10e625b275d8c4b0a5.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_101_jpg.rf.1b876b7f02c7d8e62e87ae5a901b7d07.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_102_jpg.rf.167de3dbcd03ba2465bdc02b5dd8aa25.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_103_jpg.rf.de0967119b5a89b73d63d2d245f6a26a.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_104_jpg.rf.f0714b6b0c74aad8af8a42c181a9b0dd.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_105_jpg.rf.2417a5321790d0363b6c267a9c7a7420.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_106_jpg.rf.9a4b68d745df09d76b06c146f96ae2f1.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_107_jpg.rf.4c6e7af38751cbe382b298edd32f3887.jpg,-AresVs-_BO2_2,valid,train
-AresVs-_BO2_2_108_jpg.rf.9e76fd0d5f4989131083681da1bb6e76.jpg,-AresVs-_BO2_2,valid,train
-AresVs-_BO2_2_109_jpg.rf.fd7ed4ded467f3f62090212b76c35a8f.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_10_jpg.rf.9cf916e32968df3c6938ba74795367e1.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_110_jpg.rf.20182dbf95fed37627bfb3b374c0e973.jpg,-AresVs-_BO2_2,valid,train
-AresVs-_BO2_2_111_jpg.rf.49054f74144e4223108e9920b60bc8ce.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_112_jpg.rf.3e48b83ccc04dde0d7c5dcf72ea557fa.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_113_jpg.rf.0f683a4b2a60d097da848530d5899234.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_114_jpg.rf.41b8d7638b3b5b6344c1c3889c747931.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_115_jpg.rf.63382a888a1a850ee62ac39c340a5c09.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_116_jpg.rf.a8a1700827385ec543fb3333d2fa8532.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_117_jpg.rf.bae54a20661e2b34479d769b1d4c7c10.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_118_jpg.rf.7534bbe9d34089eba63a916eba5c9084.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_119_jpg.rf.a1a70f98ff8f91626dad133298b5d1da.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_11_jpg.rf.fe3dd59dcadba1310d55a5666edaa45a.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_120_jpg.rf.7fde8118663e3f7b315dc49ca1017d9c.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_121_jpg.rf.be5db4ddf39124aaab4d2ad7e2f90370.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_122_jpg.rf.6e4c810344b32aad51a10e3cda4404a3.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_123_jpg.rf.d64a2d008ceedc04537a510658f25110.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_124_jpg.rf.c9bcf0616c9b48031d6fec0ac448e5f4.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_125_jpg.rf.83477334b1d6300612db421956c72195.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_126_jpg.rf.2751c83f2040a8eecb75a9ca6e791abc.jpg,-AresVs-_BO2_2,test,train
-AresVs-_BO2_2_127_jpg.rf.76110ce57e94222b1a6cb7034bb2fc74.jpg,-AresVs-_BO2_2,valid,train
-AresVs-_BO2_2_128_jpg.rf.27d4fc6c26c5cb671c44bbdda55541db.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_129_jpg.rf.6ef9bff323c4564706c6f6befab3aff4.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_12_jpg.rf.0eba640cadb2fd4b5a860a87e569c8e4.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_130_jpg.rf.edfaa8e0128b97b08e2ddb6c512b34c2.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_131_jpg.rf.88b9d7d767a0f0dfe7b5e818030a246e.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_132_jpg.rf.9bcb74a22ea93a905a65f18345eaf3b9.jpg,-AresVs-_BO2_2,test,train
-AresVs-_BO2_2_133_jpg.rf.e8b6424131fc3e73be2a70e205f2513e.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_134_jpg.rf.b815de9d6d5c1c2b8b48c4e5de77f05d.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_135_jpg.rf.a526680217c08ee4244be530c7987bbb.jpg,-AresVs-_BO2_2,valid,train
-AresVs-_BO2_2_136_jpg.rf.5cc604a0483e292278e12ec1481a1fad.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_137_jpg.rf.f76ce3900b5051a207100ab3d30d7cbc.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_138_jpg.rf.6fc33d8acc542f29fac2ff096d70b763.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_139_jpg.rf.4e3f79c4b22e762b32ee61ab7808d5c8.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_13_jpg.rf.8b7b0dbb2d8bf844093b8642302b6692.jpg,-AresVs-_BO2_2,valid,train
-AresVs-_BO2_2_140_jpg.rf.8edfda5864da382ce1dba5b82a03b9b9.jpg,-AresVs-_BO2_2,train,train
-AresVs-_BO2_2_141_jpg.rf.c785e2675ddd879f225e4aae02e5ba68.jpg,-AresVs-_BO2_2,train,train
